id,title,description,availability,condition,price,link,image_link,brand
tacos-pastor,Tacos al Pastor (3U),"Cerdo marinado al pastor, cebolla, cilantro y piña asada. El equilibrio sagrado.",in stock,new,11.50 USD,https://santopadre.store/#menu,https://santopadre.store/assets/menu/tacos-pastor.avif,SantoPadre
tacos-carne,Tacos de Carne (3U),"Punta trasera marinada de la buena, cebolla y cilantro. Simple, directo, perfecto.",in stock,new,12.50 USD,https://santopadre.store/#menu,https://santopadre.store/assets/menu/tacos-pastor.avif,SantoPadre
tacos-pollo,Tacos de Pollo (3U),"Pollo marinado con nuestra receta secreta, cebolla y cilantro.",in stock,new,11.00 USD,https://santopadre.store/#menu,https://santopadre.store/assets/menu/tacos-pastor.avif,SantoPadre
tacos-birria,Tacos de Birria (3U),"Queso fundido, carne de res adobada hecha a fuego lento, cebolla y cilantro. Incluye consomé.",in stock,new,12.50 USD,https://santopadre.store/#menu,https://santopadre.store/assets/menu/tacos-birria.avif,SantoPadre
tacos-cochinita,Tacos de Cochinita (3U),"Cerdo marinado hecho a fuego lento, cebollas moradas encurtidas y cilantro. Una oda a Yucatán.",in stock,new,11.50 USD,https://santopadre.store/#menu,https://santopadre.store/assets/menu/tacos-pastor.avif,SantoPadre
burritos-v1,Burritos - Proteína: Punta Trasera,"Tortilla de trigo de 1kg (aprox) rellena de arroz, pico, frijoles, guacamole y queso. Elige tu proteína.",in stock,new,18.00 USD,https://santopadre.store/#menu,https://santopadre.store/assets/menu/tacos-pastor.avif,SantoPadre
burritos-v2,Burritos - Proteína: Cerdo al Pastor,"Tortilla de trigo de 1kg (aprox) rellena de arroz, pico, frijoles, guacamole y queso. Elige tu proteína.",in stock,new,14.50 USD,https://santopadre.store/#menu,https://santopadre.store/assets/menu/tacos-pastor.avif,SantoPadre
burritos-v3,Burritos - Proteína: Carne Chilli,"Tortilla de trigo de 1kg (aprox) rellena de arroz, pico, frijoles, guacamole y queso. Elige tu proteína.",in stock,new,14.50 USD,https://santopadre.store/#menu,https://santopadre.store/assets/menu/tacos-pastor.avif,SantoPadre
burritos-v4,Burritos - Proteína: Pollo,"Tortilla de trigo de 1kg (aprox) rellena de arroz, pico, frijoles, guacamole y queso. Elige tu proteína.",in stock,new,14.50 USD,https://santopadre.store/#menu,https://santopadre.store/assets/menu/tacos-pastor.avif,SantoPadre
burritos-v5,Burritos - Proteína: Birria,"Tortilla de trigo de 1kg (aprox) rellena de arroz, pico, frijoles, guacamole y queso. Elige tu proteína.",in stock,new,18.00 USD,https://santopadre.store/#menu,https://santopadre.store/assets/menu/tacos-pastor.avif,SantoPadre
burritos-v6,Burritos - Proteína: Cochinita,"Tortilla de trigo de 1kg (aprox) rellena de arroz, pico, frijoles, guacamole y queso. Elige tu proteína.",in stock,new,14.50 USD,https://santopadre.store/#menu,https://santopadre.store/assets/menu/tacos-pastor.avif,SantoPadre
